CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_LOCAL_OFERTA_CURSO|CO_MUNICIPIO_CURSO|NO_MUNICIPIO_CURSO|CO_UF_CURSO|SGL_UF_CURSO|NO_REGIAO_CURSO|IN_CAPITAL_CURSO|CO_CURSO|NO_CURSO|CO_SITUACAO_CURSO|DS_SITUACAO_CURSO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_GRAU_ACADEMICO|DS_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|DS_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|DS_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_AMPLIADO|IN_MATERIAL_TATIL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_MATERIAL_LIBRAS|IN_DISCIPLINA_LIBRAS|IN_TRADUTOR_LIBRAS|IN_GUIA_INTERPRETE|IN_RECURSOS_COMUNICACAO|IN_RECURSOS_INFORMATICA|IN_INTEGRAL_CURSO|IN_MATUTINO_CURSO|IN_VESPERTINO_CURSO|IN_NOTURNO_CURSO|NU_INTEGRALIZACAO_INTEGRAL|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_EAD|IN_OFERECE_DISC_SEMI_PRES|NU_PERC_CAR_HOR_SEMI_PRES|IN_POSSUI_LABORATORIO|QT_INSC_VAGAS_NOVAS_INT|QT_INSC_VAGAS_NOVAS_MAT|QT_INSC_VAGAS_NOVAS_VESP|QT_INSC_VAGAS_NOVAS_NOT|QT_INSC_VAGAS_NOVAS_EAD|QT_INSC_VAGAS_REMAN_INT|QT_INSC_VAGAS_REMAN_MAT|QT_INSC_VAGAS_REMAN_VESP|QT_INSC_VAGAS_REMAN_NOT|QT_INSC_VAGAS_REMAN_EAD|QT_INSC_VAGAS_PROG_ESP_INT|QT_INSC_VAGAS_PROG_ESP_MAT|QT_INSC_VAGAS_PROG_ESP_VESP|QT_INSC_VAGAS_PROG_ESP_NOT|QT_INSC_VAGAS_PROG_ESP_EAD|QT_VAGAS_NOVAS_INTEGRAL|QT_VAGAS_NOVAS_MATUTINO|QT_VAGAS_NOVAS_VESPERTINO|QT_VAGAS_NOVAS_NOTURNO|QT_VAGAS_NOVAS_EAD|QT_VAGAS_REMANESC_INTEGRAL|QT_VAGAS_REMANESC_MATUTINO|QT_VAGAS_REMANESC_VESPERTINO|QT_VAGAS_REMANESC_NOTURNO|QT_VAGAS_REMANESC_EAD|QT_VAGAS_PROG_ESP_INTEGRAL|QT_VAGAS_PROG_ESP_MATUTINO|QT_VAGAS_PROG_ESP_VESPERTINO|QT_VAGAS_PROG_ESP_NOTURNO|QT_VAGAS_PROG_ESP_EAD|QT_MATRICULA_CURSO|QT_CONCLUINTE_CURSO|QT_INGRESSO_CURSO|QT_INGRESSO_VAGAS_NOVAS|ANO
19862|Faculdade de Tecnologia Jorge Caram Sabbag|2|Publica Estadual|3|Faculdade|1070408|3506102|Bebedouro|35|SP|Sudeste|0|5001280|LOGISTICA|1|Em atividade|345G13|Gestao logistica|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2800|04/08/2014||0|||||||||||||0|0|0|1||||3.00||0||1||||194|||||1|||||0|||||80|||||1|||||0||92||81|80|2015
19863|Faculdade de Tecnologia de Assis|2|Publica Estadual|3|Faculdade|1072299|3504008|Assis|35|SP|Sudeste|0|1321766|GESTAO COMERCIAL|1|Em atividade|345E01|Empreendedorismo|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2800|21/07/2014||0|||||||||||||0|0|0|1||||3.00||0||1||||80|||||3|||||0|||||80|||||6|||||0||102||82|82|2015
20478|Faculdade de Tecnologia de Santana de Parnaiba|2|Publica Estadual|3|Faculdade|1072324|3547304|Santana de Parnaiba|35|SP|Sudeste|0|1323760|GESTAO COMERCIAL|1|Em atividade|345E01|Empreendedorismo|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2800|03/02/2015||1|0|1|1|0|0|1|0|0|1|0|1|1|0|0|0|1||||3.00||0||1||||477|||||0|||||0|||||80|||||10|||||0||67||70|70|2015
21095|Academia Militar das Agulhas Negras|7|Especial|3|Faculdade|1073876|3304201|Resende|33|RJ|Sudeste|0|1332818|CIENCIAS MILITARES|1|Em atividade|863C01|Ciencia militar|8|Servicos|86|Servicos de segurnca|863|Setor militar e de defesa|1|Bacharelado|1|Presencial|1|Graduacao|1|0|6096|23/04/1952||0|||||||||||||1|0|0|0|5.00|||||0||1|500|||||0|||||0|||||500|||||0|||||0|||||516||512|512|2015
21206|Escola de Educacao Fisica do Exercito|7|Especial|2|Centro Universitario|1074086|3304557|Rio de Janeiro|33|RJ|Sudeste|1|1333000|EDUCACAO FISICA|1|Em atividade|720E01|Educacao fisica|7|Saude e bem estar social|72|Saude|720|Saude (cursos gerais)|1|Bacharelado|1|Presencial|1|Graduacao|1|0|3200|02/02/2015||0|||||||||||||1|0|0|0|3.00|||||1|20|1|0|||||0|||||45|||||0|||||0|||||45|||||41||43||2015
1886|FACULDADE DE MONTE ALTO|5|Privada sem fins lucrativos|3|Faculdade|1006467|3531308|Monte Alto|35|SP|Sudeste|0|18130|ADMINISTRACAO|1|Em atividade|345A01|Administracao|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|1|Bacharelado|1|Presencial|1|Graduacao|0|0|3000|12/03/1998||1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1||||4.00||0||1||||150|||||22|||||0|||||150|||||310|||||0||206|51|27|25|2015
4358|INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS|1|Publica Federal|4|Instituto Federal de Educacao, Ciencia e Tecnologia|1071739|3147907|Passos|31|MG|Sudeste|0|1313360|MATEMATICA|1|Em atividade|145F18|Formacao de professor de matematica|1|Educacao|14|Formacao de professor e ciencias da educacao|145|Formacao de professor de materias especificas|2|Licenciatura|1|Presencial|1|Graduacao|1|0|3200|03/02/2015||1|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|1||||4.00||0||0||||197|||||0|||||0|||||40|||||0|||||0||21||45|45|2015
13106|FACULDADE DE TECNOLOGIA LOURENCO FILHO|5|Privada sem fins lucrativos|3|Faculdade|140811|2304400|Fortaleza|23|CE|Nordeste|1|1053122|SISTEMAS PARA INTERNET|1|Em atividade|482U01|Uso da internet|4|Ciencias, matematica e computacao|48|Computacao|482|Uso do computador|3|Tecnologico|1|Presencial|1|Graduacao|0|0|2304|08/02/2011||1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1||||2.50||0||1||||10|||||0|||||0|||||80|||||0|||||0||3||3|3|2015
16395|Faculdade de Tecnologia de Carapicuiba|2|Publica Estadual|3|Faculdade|1053068|3510609|Carapicuiba|35|SP|Sudeste|0|1183685|JOGOS DIGITAIS|1|Em atividade|481T02|Tecnologia em desenvolvimento de softwares|4|Ciencias, matematica e computacao|48|Computacao|481|Ciencia da computacao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2880|04/02/2008||0|||||||||||||0|1|0|1||3.00||3.00||0||1||340||272|||0||0|||0||0|||80||80|||0||0|||0||0||430|27|158|158|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|99028|ADMINISTRACAO|1|Em atividade|345A01|Administracao|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|1|Bacharelado|1|Presencial|1|Graduacao|1|0|3313|18/10/2006||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||1|1103|||||0|||||0|||||40|||||0|||||0|||||140|18|10|10|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|99040|QUIMICA|1|Em atividade|145F21|Formacao de professor de quimica|1|Educacao|14|Formacao de professor e ciencias da educacao|145|Formacao de professor de materias especificas|2|Licenciatura|1|Presencial|1|Graduacao|1|0|3260|18/10/2006||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|3.50|||||0||1|260|||||0|||||0|||||20|||||0|||||0|||||31||18|18|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|118038|CIENCIA E TECNOLOGIA|1|Em atividade|440C01|Ciencias fisicas|4|Ciencias, matematica e computacao|44|Ciencias fisicas|440|Ciencias fisicas (cursos gerais)|1|Bacharelado|1|Presencial|1|Graduacao|1|0|2400|02/03/2009||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|3.00|||||0||1|460|||||0|||||0|||||40|||||0|||||0|||||92|14|10|10|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|118044|FISICA|1|Em atividade|145F09|Formacao de professor de fisica|1|Educacao|14|Formacao de professor e ciencias da educacao|145|Formacao de professor de materias especificas|2|Licenciatura|1|Presencial|1|Graduacao|1|0|3056|02/03/2009||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|3.50|||||0||1|313|||||0|||||0|||||20|||||0|||||0|||||24||16|16|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|118046|MATEMATICA|1|Em atividade|461M01|Matematica|4|Ciencias, matematica e computacao|46|Matematica e estatistica|461|Matematica|1|Bacharelado|1|Presencial|1|Graduacao|1|0|2886|02/03/2009||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||0|161|||||0|||||0|||||20|||||0|||||0|||||5||6|6|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|118051|ENGENHARIA CIVIL|1|Em atividade|582E03|Engenharia civil|5|Engenharia, producao e construcao|58|Arquitetura e construcao|582|Engenharia civil e de construcao|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4420|02/03/2009||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|898|||||0|||||0|||||40|||||0|||||0|||||155|13|15|15|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|399022|GEOGRAFIA|1|Em atividade|443G05|Geografia (natureza)|4|Ciencias, matematica e computacao|44|Ciencias fisicas|443|Ciencias da terra|1|Bacharelado|1|Presencial|1|Graduacao|1|0|2852|18/10/2006||1|0|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||1|222|||||0|||||0|||||20|||||0|||||0|||||37|3|17|17|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|399026|CIENCIAS BIOLOGICAS|1|Em atividade|421C01|Ciencias biologicas|4|Ciencias, matematica e computacao|42|Ciencias|421|Biologia e bioquimica|1|Bacharelado|1|Presencial|1|Graduacao|1|0|3226|18/10/2006||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||1|363|||||0|||||0|||||20|||||0|||||0|||||60|7|10|10|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|399040|QUIMICA|1|Em atividade|442Q01|Quimica|4|Ciencias, matematica e computacao|44|Ciencias fisicas|442|Quimica|1|Bacharelado|1|Presencial|1|Graduacao|1|0|3226|18/10/2006||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||1|166|||||0|||||0|||||20|||||0|||||0|||||23|1|15|15|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|418044|FISICA|1|Em atividade|441F01|Fisica|4|Ciencias, matematica e computacao|44|Ciencias fisicas|441|Fisica|1|Bacharelado|1|Presencial|1|Graduacao|1|0|3024|02/03/2009||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||1|156|||||0|||||0|||||20|||||0|||||0|||||9||8|8|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|1111510|MATEMATICA|1|Em atividade|145F18|Formacao de professor de matematica|1|Educacao|14|Formacao de professor e ciencias da educacao|145|Formacao de professor de materias especificas|2|Licenciatura|1|Presencial|1|Graduacao|1|0|3090|02/03/2009||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.00|||||0||1|189|||||0|||||0|||||20|||||0|||||0|||||20|1|14|14|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|1276399|HISTORIA|1|Em atividade|225H01|Historia|2|Humanidades e artes|22|Humanidades e letras|225|Historia e arqueologia|1|Bacharelado|1|Presencial|1|Graduacao|1|0|2940|||1|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1||||4.50||0||1||||232|||||0|||||0|||||20|||||0|||||0||36||19|19|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|1276400|NUTRICAO|1|Em atividade|726N02|Nutricao|7|Saude e bem estar social|72|Saude|726|Terapia e reabilitacao|1|Bacharelado|1|Presencial|1|Graduacao|1|0|3740|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|464|||||0|||||0|||||45|||||0|||||0|||||77||42|42|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066442|2903201|Barreiras|29|BA|Nordeste|0|1276401|FARMACIA|1|Em atividade|727F01|Farmacia|7|Saude e bem estar social|72|Saude|727|Farmacia|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4540|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|347|||||0|||||0|||||45|||||0|||||0|||||62||27|27|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066437|2902708|Barra|29|BA|Nordeste|0|1276403|AGRONOMIA|1|Em atividade|621A04|Agronomia|6|Agricultura e veterinaria|62|Agricultura, florestas e recursos pesqueiros|621|Producao agricola e pecuaria|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4140|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|938|||||0|||||0|||||45|||||0|||||0|||||54||14|14|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066437|2902708|Barra|29|BA|Nordeste|0|1276404|MEDICINA VETERINARIA|1|Em atividade|641M01|Medicina veterinaria|6|Agricultura e veterinaria|64|Veterinaria|641|Veterinaria|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4540|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|1386|||||0|||||0|||||45|||||0|||||0|||||81||40|40|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066444|2903904|Bom Jesus da Lapa|29|BA|Nordeste|0|1276407|ENGENHARIA ELETRICA|1|Em atividade|522E06|Engenharia eletrica|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|522|Eletricidade e energia|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4140|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|895|||||0|||||0|||||45|||||0|||||0|||||84||45|45|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066444|2903904|Bom Jesus da Lapa|29|BA|Nordeste|0|1276409|ENGENHARIA MECANICA|1|Em atividade|521E05|Engenharia mecanica|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|521|Engenharia mecanica e metalurgia (trabalhos com metais)|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4140|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|1090|||||0|||||0|||||45|||||0|||||0|||||73||44|44|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066445|2919553|Luis Eduardo Magalhaes|29|BA|Nordeste|0|1276410|ENGENHARIA DE BIOTECNOLOGIA|1|Em atividade|524E01|Engenharia bioquimica|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|524|Quimica e engenharia de processos|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4140|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|548|||||0|||||0|||||45|||||0|||||0|||||39||19|19|2015
18506|UNIVERSIDADE FEDERAL DO OESTE DA BAHIA|1|Publica Federal|1|Universidade|1066445|2919553|Luis Eduardo Magalhaes|29|BA|Nordeste|0|1276411|ENGENHARIA DE PRODUCAO|1|Em atividade|520E05|Engenharia de producao|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|520|Engenharia e profissoes de engenharia (cursos gerais)|1|Bacharelado|1|Presencial|1|Graduacao|1|0|4140|||1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.00|||||0||1|754|||||0|||||0|||||45|||||0|||||0|||||54||27|27|2015
